hour_beginning,location,Pedestrians,Towards Manhattan,Towards Brooklyn,weather_summary,temperature,precipitation,lat,long,events,Location1
1/19/2018 4:00,Brooklyn Bridge,0,0,0,clear-night,22,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/12/2018 23:00,Brooklyn Bridge,45,32,13,rain,56,0.033,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/8/2018 5:00,Brooklyn Bridge,4,2,2,partly-cloudy-night,18,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/8/2018 19:00,Brooklyn Bridge,192,146,46,cloudy,29,0.0029,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/30/2018 4:00,Brooklyn Bridge,0,0,0,partly-cloudy-night,30,0.0047,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/25/2017 22:00,Brooklyn Bridge,75,27,48,clear-night,28,0,40.70816397,-73.9995087,Christmas Day,"(40.7081639691088, -73.9995087014816)"
11/30/2017 3:00,Brooklyn Bridge,1,0,1,clear-night,36,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/24/2018 16:00,Brooklyn Bridge,845,422,423,partly-cloudy-day,36,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/15/2017 8:00,Brooklyn Bridge,159,51,108,clear-day,21,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/19/2018 19:00,Brooklyn Bridge,176,105,71,clear-night,34,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/7/2017 10:00,Brooklyn Bridge,890,494,396,clear-day,41,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/11/2017 10:00,Brooklyn Bridge,953,494,459,clear-day,30,0.0006,40.70816397,-73.9995087,Veterans Day,"(40.7081639691088, -73.9995087014816)"
1/14/2018 7:00,Brooklyn Bridge,44,24,20,clear-night,15,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
2/4/2018 16:00,Brooklyn Bridge,475,217,258,partly-cloudy-day,39,0.0022,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
2/1/2018 1:00,Brooklyn Bridge,2,0,2,partly-cloudy-night,31,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/16/2018 22:00,Brooklyn Bridge,35,18,17,clear-night,34,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/28/2017 9:00,Brooklyn Bridge,383,180,203,clear-day,38,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/29/2017 6:00,Brooklyn Bridge,78,46,32,clear-night,46,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
10/13/2017 20:00,Brooklyn Bridge,370,157,213,partly-cloudy-night,62,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/31/2018 19:00,Brooklyn Bridge,297,216,81,clear-night,30,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/5/2017 9:00,Brooklyn Bridge,337,138,199,partly-cloudy-day,53,0.0001,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/20/2017 19:00,Brooklyn Bridge,256,154,102,clear-night,37,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/2/2018 16:00,Brooklyn Bridge,2294,1029,1265,clear-day,25,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
10/31/2017 21:00,Brooklyn Bridge,105,53,52,clear-night,50,0,40.70816397,-73.9995087,Halloween,"(40.7081639691088, -73.9995087014816)"
11/14/2017 17:00,Brooklyn Bridge,840,449,391,partly-cloudy-night,43,0.0001,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/20/2018 7:00,Brooklyn Bridge,116,64,52,clear-night,36,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/4/2017 8:00,Brooklyn Bridge,389,146,243,partly-cloudy-day,35,0.0002,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/20/2018 12:00,Brooklyn Bridge,1586,806,780,clear-day,49,0.007,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/23/2017 22:00,Brooklyn Bridge,72,35,37,partly-cloudy-night,44,0.0066,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
10/1/2017 5:00,Brooklyn Bridge,16,12,4,partly-cloudy-night,50,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/12/2017 0:00,Brooklyn Bridge,27,16,11,partly-cloudy-night,37,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
